"name"
"Copland Portrait"
"Alessandro Manzoni"
"Andrzej Żuławski"
"André Malraux"
"Arnold Bennett"
"Arthur Machen"
"Astrid Lindgren"
"August Strindberg"
"Bonnie Tyler"
"Brian May"
"Grimms' Fairy Tales"
"Grimms' household tales"
"Carl Sandburg"
"Charles Beaumont"
"Cole Porter"
"Dannii Minogue"
"Edmond Hamilton"
"Edmond Rostand"
"Edmund Clerihew Bentley"
"Edna Ferber"
"Fish"
"Ford Madox Ford"
"Frederick Loewe"
"Fredric Brown"
"Gabriele D'Annunzio"
"Caro, Elme – George Sand"
"George Sand"
"Roy, Albert le – George Sand et ses amis"
"Doumic, René – George Sand, some aspects of her life and writings"
"Georges Perec"
"Graeme Garden"
"Greg Bear"
"Harry Enfield"
"Harry Houdini"
"Heinrich Zschokke"
"Honoré de Balzac"
"Hugh Lofting"
"Ian Fleming"
"Ike Turner"
"Irving Berlin"
"Ivor Novello"
"Jack London"
"Jim Thorpe"
"John Bunyan"
"John Galsworthy"
"John Philip Sousa"
"Sousa Band"
"José Saramago"
"Karel Čapek"
"Kevin J. Anderson"
"Krist Novoselic"
"Kurt Weill"
"Lanford Wilson"
"Leigh Brackett"
"Len Deighton"
"Lenny Bruce"
"M. R. James"
"Mai Zetterling"
"Marc Connelly"
"Marty Feldman"
"Mary Elizabeth Braddon"
"Molière"
"Moss Hart"
"Murray Leinster"
"Nobuo Uematsu"
"Fatboy Slim"
"O. Henry"
"Oliver Goldsmith"
"Ovid"
"Peter Greenaway biography and credits"
"R. Kelly"
"Radiohead"
"Roald Dahl"
"Robert Graves"
"Roger Zelazny"
"Roxette"
"Sacha Baron Cohen"
"Sergio Tofano"
"Sigrid Undset"
"Sinclair Lewis"
"Sir Mix-a-Lot"
"Ted Williams"
"Terry Jones"
"The Damned"
"Theodore Dreiser"
"Theodore Sturgeon"
"Thomas Hardy"
"Théophile Gautier"
"Tony Richardson"
"Victor Hugo"
"Vladimir Nabokov"
"Whitney Houston"
"William S. Burroughs"
"William Saroyan"
"Wim Wenders"
"Winston Churchill"
"""The Columbia """
"""The Fight for Life """
"Émile Zola"
"Allan Scott"
